"City";"Year";"Formal Jobs";"Jobs in Agriculture";"Jobs in Industry";"Jobs in Construction";"Jobs in Retail";"Jobs in Service";"Share of Agricultural Jobs";"Share of Industry Jobs";"Share of Construction Jobs";"Share of Retail Jobs";"Share of Service Jobs";"Cód. IBGE"
"Registro";"2015";"13361";"1102";"1085";"679";"3802";"6693";"8,25";"8,12";"5,08";"28,46";"50,09";3542602
"Registro";"2016";"13154";"1079";"1024";"459";"3630";"6962";"8,2";"7,78";"3,49";"27,6";"52,93";3542602
"Restinga";"2012";"1565";"556";"310";"271";"91";"337";"35,53";"19,81";"17,32";"5,81";"21,53";3542701
"Restinga";"2013";"1582";"572";"328";"225";"90";"367";"36,16";"20,73";"14,22";"5,69";"23,2";3542701
"Restinga";"2014";"1532";"516";"321";"217";"107";"371";"33,68";"20,95";"14,16";"6,98";"24,22";3542701
"Restinga";"2015";"1746";"558";"282";"447";"103";"356";"31,96";"16,15";"25,6";"5,9";"20,39";3542701
"Restinga";"2016";"1330";"622";"263";"309";"78";"58";"46,77";"19,77";"23,23";"5,86";"4,36";3542701
"Ribeira";"2012";"506";"151";"120";"-";"36";"199";"29,84";"23,72";"-";"7,11";"39,33";3542800
"Ribeira";"2013";"421";"153";"14";"-";"34";"220";"36,34";"3,33";"-";"8,08";"52,26";3542800
"Ribeira";"2014";"473";"187";"7";"-";"49";"230";"39,53";"1,48";"-";"10,36";"48,63";3542800
"Ribeira";"2015";"439";"162";"11";"-";"52";"214";"36,9";"2,51";"-";"11,85";"48,75";3542800
"Ribeira";"2016";"461";"183";"16";"-";"61";"201";"39,7";"3,47";"-";"13,23";"43,6";3542800
"Ribeirão Bonito";"2012";"2101";"506";"416";"69";"308";"802";"24,08";"19,8";"3,28";"14,66";"38,17";3542909
"Ribeirão Bonito";"2013";"2275";"458";"534";"89";"308";"886";"20,13";"23,47";"3,91";"13,54";"38,95";3542909
"Ribeirão Bonito";"2014";"2407";"453";"146";"666";"312";"830";"18,82";"6,07";"27,67";"12,96";"34,48";3542909
"Ribeirão Bonito";"2015";"1983";"476";"140";"219";"316";"832";"24";"7,06";"11,04";"15,94";"41,96";3542909
"Ribeirão Bonito";"2016";"1812";"439";"149";"97";"301";"826";"24,23";"8,22";"5,35";"16,61";"45,58";3542909
"Ribeirão Branco";"2012";"3097";"1702";"134";"22";"344";"895";"54,96";"4,33";"0,71";"11,11";"28,9";3543006
"Ribeirão Branco";"2013";"3409";"1929";"147";"44";"431";"858";"56,59";"4,31";"1,29";"12,64";"25,17";3543006
"Ribeirão Branco";"2014";"3682";"2097";"139";"57";"547";"842";"56,95";"3,78";"1,55";"14,86";"22,87";3543006
"Ribeirão Branco";"2015";"3718";"2178";"127";"29";"524";"860";"58,58";"3,42";"0,78";"14,09";"23,13";3543006
"Ribeirão Branco";"2016";"3514";"2075";"113";"18";"555";"753";"59,05";"3,22";"0,51";"15,79";"21,43";3543006
"Ribeirão Corrente";"2012";"622";"294";"44";"24";"42";"218";"47,27";"7,07";"3,86";"6,75";"35,05";3543105
"Ribeirão Corrente";"2013";"648";"268";"69";"28";"55";"228";"41,36";"10,65";"4,32";"8,49";"35,19";3543105
"Ribeirão Corrente";"2014";"695";"298";"60";"56";"36";"245";"42,88";"8,63";"8,06";"5,18";"35,25";3543105
"Ribeirão Corrente";"2015";"713";"303";"79";"35";"49";"247";"42,5";"11,08";"4,91";"6,87";"34,64";3543105
"Ribeirão Corrente";"2016";"680";"331";"55";"24";"47";"223";"48,68";"8,09";"3,53";"6,91";"32,79";3543105
"Ribeirão do Sul";"2012";"610";"142";"97";"x";"90";"237";"23,28";"15,9";"7,21";"14,75";"38,85";3543204
"Ribeirão do Sul";"2013";"699";"178";"126";"x";"114";"260";"25,46";"18,03";"3";"16,31";"37,2";3543204
"Ribeirão do Sul";"2014";"697";"154";"147";"13";"126";"257";"22,09";"21,09";"1,87";"18,08";"36,87";3543204
"Ribeirão do Sul";"2015";"640";"145";"89";"10";"132";"264";"22,66";"13,91";"1,56";"20,63";"41,25";3543204
"Ribeirão do Sul";"2016";"613";"156";"69";"14";"121";"253";"25,45";"11,26";"2,28";"19,74";"41,27";3543204
"Ribeirão dos Índios";"2012";"281";"32";"29";"4";"38";"178";"11,39";"10,32";"1,42";"13,52";"63,35";3543238
"Ribeirão dos Índios";"2013";"275";"30";"24";"x";"27";"189";"10,91";"8,73";"1,82";"9,82";"68,73";3543238
"Ribeirão dos Índios";"2014";"303";"32";"26";"7";"21";"217";"10,56";"8,58";"2,31";"6,93";"71,62";3543238
"Ribeirão dos Índios";"2015";"321";"32";"31";"2";"22";"234";"9,97";"9,66";"0,62";"6,85";"72,9";3543238
"Ribeirão dos Índios";"2016";"289";"34";"19";"6";"7";"223";"11,76";"6,57";"2,08";"2,42";"77,16";3543238
"Ribeirão Grande";"2012";"989";"75";"118";"162";"118";"516";"7,58";"11,93";"16,38";"11,93";"52,17";3543253
"Ribeirão Grande";"2013";"1020";"80";"103";"214";"71";"552";"7,84";"10,1";"20,98";"6,96";"54,12";3543253
"Ribeirão Grande";"2014";"1284";"97";"309";"173";"83";"622";"7,55";"24,07";"13,47";"6,46";"48,44";3543253
"Ribeirão Grande";"2015";"1029";"101";"150";"198";"86";"494";"9,82";"14,58";"19,24";"8,36";"48,01";3543253
"Ribeirão Grande";"2016";"828";"91";"116";"52";"85";"484";"10,99";"14,01";"6,28";"10,27";"58,45";3543253
"Ribeirão Pires";"2012";"23657";"15";"8366";"831";"4768";"9677";"0,06";"35,36";"3,51";"20,15";"40,91";3543303
"Ribeirão Pires";"2013";"24288";"11";"8315";"887";"4856";"10219";"0,05";"34,24";"3,65";"19,99";"42,07";3543303
"Ribeirão Pires";"2014";"24779";"10";"7924";"1025";"5044";"10776";"0,04";"31,98";"4,14";"20,36";"43,49";3543303
"Ribeirão Pires";"2015";"23544";"7";"7238";"1132";"4860";"10307";"0,03";"30,74";"4,81";"20,64";"43,78";3543303
"Ribeirão Pires";"2016";"21890";"9";"6508";"848";"5140";"9385";"0,04";"29,73";"3,87";"23,48";"42,87";3543303
"Ribeirão Preto";"2012";"222545";"1175";"25087";"17524";"61560";"117199";"0,53";"11,27";"7,87";"27,66";"52,66";3543402
"Ribeirão Preto";"2013";"230619";"1082";"25685";"18321";"63132";"122399";"0,47";"11,14";"7,94";"27,38";"53,07";3543402
"Ribeirão Preto";"2014";"233129";"1002";"25192";"14811";"64055";"128069";"0,43";"10,81";"6,35";"27,48";"54,93";3543402
"Ribeirão Preto";"2015";"226584";"901";"23423";"13226";"61566";"127468";"0,4";"10,34";"5,84";"27,17";"56,26";3543402
"Ribeirão Preto";"2016";"222821";"1150";"21734";"11904";"61465";"126568";"0,52";"9,75";"5,34";"27,58";"56,8";3543402
"Rifaina";"2012";"480";"109";"22";"x";"88";"261";"22,71";"4,58";"-";"18,33";"54,38";3543600
"Rifaina";"2013";"523";"130";"13";"x";"86";"293";"24,86";"2,49";"0,19";"16,44";"56,02";3543600
"Rifaina";"2014";"615";"82";"34";"16";"150";"333";"13,33";"5,53";"2,6";"24,39";"54,15";3543600
"Rifaina";"2015";"728";"70";"154";"9";"158";"337";"9,62";"21,15";"1,24";"21,7";"46,29";3543600
"Rifaina";"2016";"743";"72";"218";"8";"128";"317";"9,69";"29,34";"1,08";"17,23";"42,66";3543600
"Rincão";"2012";"1690";"386";"335";"x";"150";"800";"22,84";"19,82";"1,12";"8,88";"47,34";3543709
"Rincão";"2013";"1594";"333";"285";"x";"164";"800";"20,89";"17,88";"0,75";"10,29";"50,19";3543709
"Rincão";"2014";"1570";"344";"243";"11";"211";"761";"21,91";"15,48";"0,7";"13,44";"48,47";3543709
"Rincão";"2015";"1615";"319";"353";"6";"189";"748";"19,75";"21,86";"0,37";"11,7";"46,32";3543709
"Rincão";"2016";"1522";"298";"300";"3";"183";"738";"19,58";"19,71";"0,2";"12,02";"48,49";3543709
"Rinópolis";"2012";"1861";"251";"667";"9";"340";"594";"13,49";"35,84";"0,48";"18,27";"31,92";3543808
"Rinópolis";"2013";"2036";"357";"717";"14";"350";"598";"17,53";"35,22";"0,69";"17,19";"29,37";3543808
"Rinópolis";"2014";"2301";"388";"952";"7";"310";"644";"16,86";"41,37";"0,3";"13,47";"27,99";3543808
"Rinópolis";"2015";"1852";"401";"426";"7";"324";"694";"21,65";"23";"0,38";"17,49";"37,47";3543808
"Rinópolis";"2016";"1672";"406";"297";"7";"345";"617";"24,28";"17,76";"0,42";"20,63";"36,9";3543808
"Rio Claro";"2012";"66170";"1345";"25099";"2269";"12023";"25434";"2,03";"37,93";"3,43";"18,17";"38,44";3543907
"Rio Claro";"2013";"67009";"1384";"25332";"2285";"12178";"25830";"2,07";"37,8";"3,41";"18,17";"38,55";3543907
"Rio Claro";"2014";"66811";"1090";"25259";"2181";"12108";"26173";"1,63";"37,81";"3,26";"18,12";"39,17";3543907
"Rio Claro";"2015";"65112";"1107";"22536";"3081";"12046";"26342";"1,7";"34,61";"4,73";"18,5";"40,46";3543907
"Rio Claro";"2016";"61302";"1083";"20260";"2389";"11988";"25582";"1,77";"33,05";"3,9";"19,56";"41,73";3543907
"Rio das Pedras";"2012";"8755";"160";"5045";"382";"1206";"1962";"1,83";"57,62";"4,36";"13,77";"22,41";3544004
"Rio das Pedras";"2013";"9436";"201";"5237";"429";"1317";"2252";"2,13";"55,5";"4,55";"13,96";"23,87";3544004
"Rio das Pedras";"2014";"8694";"166";"4932";"366";"1329";"1901";"1,91";"56,73";"4,21";"15,29";"21,87";3544004
"Rio das Pedras";"2015";"8103";"124";"4199";"326";"1314";"2140";"1,53";"51,82";"4,02";"16,22";"26,41";3544004
"Rio das Pedras";"2016";"7930";"120";"4324";"288";"1155";"2043";"1,51";"54,53";"3,63";"14,56";"25,76";3544004
"Rio Grande da Serra";"2012";"3778";"x";"1492";"445";"509";"1329";"0,08";"39,49";"11,78";"13,47";"35,18";3544103
"Rio Grande da Serra";"2013";"4204";"5";"1501";"586";"514";"1598";"0,12";"35,7";"13,94";"12,23";"38,01";3544103
"Rio Grande da Serra";"2014";"3857";"3";"1577";"483";"517";"1277";"0,08";"40,89";"12,52";"13,4";"33,11";3544103
"Rio Grande da Serra";"2015";"4044";"4";"1662";"602";"522";"1254";"0,1";"41,1";"14,89";"12,91";"31,01";3544103
"Rio Grande da Serra";"2016";"3985";"4";"1621";"475";"521";"1364";"0,1";"40,68";"11,92";"13,07";"34,23";3544103
"Riolândia";"2012";"858";"204";"45";"x";"113";"494";"23,78";"5,24";"0,23";"13,17";"57,58";3544202
"Riolândia";"2013";"922";"204";"34";"x";"145";"538";"22,13";"3,69";"0,11";"15,73";"58,35";3544202
"Riolândia";"2014";"962";"219";"32";"1";"160";"550";"22,77";"3,33";"0,1";"16,63";"57,17";3544202
"Riolândia";"2015";"1003";"234";"26";"-";"160";"583";"23,33";"2,59";"-";"15,95";"58,13";3544202
"Riolândia";"2016";"1010";"230";"27";"3";"146";"604";"22,77";"2,67";"0,3";"14,46";"59,8";3544202
"Riversul";"2012";"494";"68";"58";"-";"41";"327";"13,77";"11,74";"-";"8,3";"66,19";3543501
"Riversul";"2013";"533";"80";"93";"-";"55";"305";"15,01";"17,45";"-";"10,32";"57,22";3543501
"Riversul";"2014";"538";"85";"76";"7";"56";"314";"15,8";"14,13";"1,3";"10,41";"58,36";3543501
"Riversul";"2015";"581";"112";"71";"-";"70";"328";"19,28";"12,22";"-";"12,05";"56,45";3543501
"Riversul";"2016";"534";"97";"59";"1";"80";"297";"18,16";"11,05";"0,19";"14,98";"55,62";3543501
"Rosana";"2012";"2424";"105";"290";"55";"478";"1496";"4,33";"11,96";"2,27";"19,72";"61,72";3544251
"Rosana";"2013";"2579";"110";"269";"36";"547";"1617";"4,27";"10,43";"1,4";"21,21";"62,7";3544251
"Rosana";"2014";"2686";"100";"226";"66";"557";"1737";"3,72";"8,41";"2,46";"20,74";"64,67";3544251
"Rosana";"2015";"2682";"123";"224";"87";"541";"1707";"4,59";"8,35";"3,24";"20,17";"63,65";3544251
"Rosana";"2016";"2524";"153";"214";"44";"500";"1613";"6,06";"8,48";"1,74";"19,81";"63,91";3544251
"Roseira";"2012";"2152";"118";"495";"159";"239";"1141";"5,48";"23";"7,39";"11,11";"53,02";3544301
"Roseira";"2013";"2367";"124";"606";"154";"262";"1221";"5,24";"25,6";"6,51";"11,07";"51,58";3544301
"Roseira";"2014";"1981";"121";"532";"155";"254";"919";"6,11";"26,86";"7,82";"12,82";"46,39";3544301
"Roseira";"2015";"2106";"108";"546";"151";"260";"1041";"5,13";"25,93";"7,17";"12,35";"49,43";3544301
"Roseira";"2016";"2085";"112";"518";"117";"282";"1056";"5,37";"24,84";"5,61";"13,53";"50,65";3544301
"Rubiácea";"2012";"372";"107";"x";"x";"16";"201";"28,76";"4,3";"8,6";"4,3";"54,03";3544400
"Rubiácea";"2013";"389";"108";"x";"x";"13";"206";"27,76";"5,66";"10,28";"3,34";"52,96";3544400
"Rubiácea";"2014";"382";"112";"20";"39";"15";"196";"29,32";"5,24";"10,21";"3,93";"51,31";3544400
"Rubiácea";"2015";"319";"71";"20";"4";"15";"209";"22,26";"6,27";"1,25";"4,7";"65,52";3544400
"Rubiácea";"2016";"374";"128";"19";"4";"22";"201";"34,22";"5,08";"1,07";"5,88";"53,74";3544400
"Rubinéia";"2012";"441";"56";"18";"-";"17";"350";"12,7";"4,08";"-";"3,85";"79,37";3544509
"Rubinéia";"2013";"497";"82";"18";"x";"23";"373";"16,5";"3,62";"0,2";"4,63";"75,05";3544509
"Rubinéia";"2014";"514";"110";"18";"-";"33";"353";"21,4";"3,5";"-";"6,42";"68,68";3544509
"Rubinéia";"2015";"596";"141";"20";"5";"50";"380";"23,66";"3,36";"0,84";"8,39";"63,76";3544509
"Rubinéia";"2016";"611";"167";"20";"1";"53";"370";"27,33";"3,27";"0,16";"8,67";"60,56";3544509
"Sabino";"2012";"645";"172";"32";"x";"100";"338";"26,67";"4,96";"0,47";"15,5";"52,4";3544608
"Sabino";"2013";"634";"144";"x";"x";"103";"366";"22,71";"3";"0,32";"16,25";"57,73";3544608
"Sabino";"2014";"651";"127";"28";"8";"117";"371";"19,51";"4,3";"1,23";"17,97";"56,99";3544608
"Sabino";"2015";"649";"129";"25";"7";"116";"372";"19,88";"3,85";"1,08";"17,87";"57,32";3544608
"Sabino";"2016";"603";"89";"23";"4";"117";"370";"14,76";"3,81";"0,66";"19,4";"61,36";3544608
"Sagres";"2012";"401";"37";"68";"-";"12";"284";"9,23";"16,96";"-";"2,99";"70,82";3544707
"Sagres";"2013";"375";"34";"84";"x";"9";"248";"9,07";"22,4";"-";"2,4";"66,13";3544707
"Sagres";"2014";"482";"33";"74";"31";"18";"326";"6,85";"15,35";"6,43";"3,73";"67,63";3544707
"Sagres";"2015";"414";"30";"65";"11";"18";"290";"7,25";"15,7";"2,66";"4,35";"70,05";3544707
"Sagres";"2016";"394";"37";"60";"-";"21";"276";"9,39";"15,23";"-";"5,33";"70,05";3544707
"Sales";"2012";"635";"94";"86";"x";"122";"329";"14,8";"13,54";"0,63";"19,21";"51,81";3544806
"Sales";"2013";"744";"95";"152";"5";"133";"359";"12,77";"20,43";"0,67";"17,88";"48,25";3544806
"Sales";"2014";"779";"99";"155";"7";"130";"388";"12,71";"19,9";"0,9";"16,69";"49,81";3544806
"Sales";"2015";"765";"108";"135";"11";"137";"374";"14,12";"17,65";"1,44";"17,91";"48,89";3544806
"Sales";"2016";"797";"110";"115";"3";"152";"417";"13,8";"14,43";"0,38";"19,07";"52,32";3544806
"Sales Oliveira";"2012";"2377";"517";"591";"170";"295";"804";"21,75";"24,86";"7,15";"12,41";"33,82";3544905
"Sales Oliveira";"2013";"2478";"546";"635";"179";"318";"800";"22,03";"25,63";"7,22";"12,83";"32,28";3544905
"Sales Oliveira";"2014";"2524";"470";"651";"184";"338";"881";"18,62";"25,79";"7,29";"13,39";"34,9";3544905
"Sales Oliveira";"2015";"2490";"454";"664";"146";"341";"885";"18,23";"26,67";"5,86";"13,69";"35,54";3544905
"Sales Oliveira";"2016";"2488";"501";"699";"88";"360";"840";"20,14";"28,09";"3,54";"14,47";"33,76";3544905
"Salesópolis";"2012";"2014";"519";"49";"6";"609";"831";"25,77";"2,43";"0,3";"30,24";"41,26";3545001
"Salesópolis";"2013";"2144";"536";"50";"x";"682";"875";"25";"2,33";"0,05";"31,81";"40,81";3545001
"Salesópolis";"2014";"2174";"554";"60";"1";"613";"946";"25,48";"2,76";"0,05";"28,2";"43,51";3545001
"Salesópolis";"2015";"2123";"579";"54";"2";"600";"888";"27,27";"2,54";"0,09";"28,26";"41,83";3545001
"Salesópolis";"2016";"2131";"575";"40";"9";"595";"912";"26,98";"1,88";"0,42";"27,92";"42,8";3545001
"Salmourão";"2012";"473";"111";"x";"-";"50";"261";"23,47";"10,78";"-";"10,57";"55,18";3545100
"Salmourão";"2013";"506";"112";"x";"-";"42";"249";"22,13";"20,36";"-";"8,3";"49,21";3545100
"Salmourão";"2014";"518";"106";"75";"11";"40";"286";"20,46";"14,48";"2,12";"7,72";"55,21";3545100
"Salmourão";"2015";"535";"138";"56";"4";"44";"293";"25,79";"10,47";"0,75";"8,22";"54,77";3545100
"Salmourão";"2016";"520";"117";"57";"15";"48";"283";"22,5";"10,96";"2,88";"9,23";"54,42";3545100
"Saltinho";"2012";"1599";"41";"611";"65";"401";"481";"2,56";"38,21";"4,07";"25,08";"30,08";3545159
"Saltinho";"2013";"1718";"48";"610";"80";"503";"477";"2,79";"35,51";"4,66";"29,28";"27,76";3545159
"Saltinho";"2014";"1596";"32";"555";"17";"522";"470";"2,01";"34,77";"1,07";"32,71";"29,45";3545159
"Saltinho";"2015";"1598";"48";"500";"51";"492";"507";"3";"31,29";"3,19";"30,79";"31,73";3545159
"Saltinho";"2016";"1548";"41";"480";"45";"498";"484";"2,65";"31,01";"2,91";"32,17";"31,27";3545159
"Salto";"2012";"29757";"201";"10794";"834";"6581";"11347";"0,68";"36,27";"2,8";"22,12";"38,13";3545209
"Salto";"2013";"30224";"245";"10521";"774";"6746";"11938";"0,81";"34,81";"2,56";"22,32";"39,5";3545209
"Salto";"2014";"30475";"286";"10087";"808";"6709";"12585";"0,94";"33,1";"2,65";"22,01";"41,3";3545209
"Salto";"2015";"30126";"196";"9895";"685";"6239";"13111";"0,65";"32,85";"2,27";"20,71";"43,52";3545209
"Salto";"2016";"28699";"210";"9792";"624";"5643";"12430";"0,73";"34,12";"2,17";"19,66";"43,31";3545209
"Salto de Pirapora";"2012";"5811";"148";"2220";"220";"895";"2328";"2,55";"38,2";"3,79";"15,4";"40,06";3545308
"Salto de Pirapora";"2013";"5929";"150";"2132";"171";"1051";"2425";"2,53";"35,96";"2,88";"17,73";"40,9";3545308
"Salto de Pirapora";"2014";"6399";"176";"2454";"184";"1097";"2488";"2,75";"38,35";"2,88";"17,14";"38,88";3545308
"Salto de Pirapora";"2015";"6514";"190";"2246";"279";"1145";"2654";"2,92";"34,48";"4,28";"17,58";"40,74";3545308
"Salto de Pirapora";"2016";"6594";"214";"2442";"181";"1166";"2591";"3,25";"37,03";"2,74";"17,68";"39,29";3545308
"Salto Grande";"2012";"1342";"185";"381";"17";"211";"548";"13,79";"28,39";"1,27";"15,72";"40,83";3545407
"Salto Grande";"2013";"1378";"165";"430";"20";"229";"534";"11,97";"31,2";"1,45";"16,62";"38,75";3545407
"Salto Grande";"2014";"1364";"157";"398";"13";"255";"541";"11,51";"29,18";"0,95";"18,7";"39,66";3545407
"Salto Grande";"2015";"1399";"157";"380";"24";"275";"563";"11,22";"27,16";"1,72";"19,66";"40,24";3545407
"Salto Grande";"2016";"1343";"161";"388";"13";"297";"484";"11,99";"28,89";"0,97";"22,11";"36,04";3545407
"Sandovalina";"2012";"2364";"116";"1776";"x";"37";"433";"4,91";"75,13";"0,08";"1,57";"18,32";3545506
"Sandovalina";"2013";"2002";"140";"1372";"x";"43";"446";"6,99";"68,53";"0,05";"2,15";"22,28";3545506
"Sandovalina";"2014";"2338";"148";"1666";"-";"49";"475";"6,33";"71,26";"-";"2,1";"20,32";3545506
"Sandovalina";"2015";"2164";"160";"1468";"-";"52";"484";"7,39";"67,84";"-";"2,4";"22,37";3545506
"Sandovalina";"2016";"2090";"103";"1493";"-";"53";"441";"4,93";"71,44";"-";"2,54";"21,1";3545506
"Santa Adélia";"2012";"5020";"3231";"55";"17";"564";"1153";"64,36";"1,1";"0,34";"11,24";"22,97";3545605
"Santa Adélia";"2013";"4634";"2845";"55";"24";"523";"1187";"61,39";"1,19";"0,52";"11,29";"25,62";3545605
"Santa Adélia";"2014";"4557";"2706";"41";"27";"549";"1234";"59,38";"0,9";"0,59";"12,05";"27,08";3545605
"Santa Adélia";"2015";"4572";"2642";"52";"32";"556";"1290";"57,79";"1,14";"0,7";"12,16";"28,22";3545605
"Santa Adélia";"2016";"4431";"2566";"66";"16";"539";"1244";"57,91";"1,49";"0,36";"12,16";"28,07";3545605
"Santa Albertina";"2012";"2069";"1281";"256";"-";"144";"388";"61,91";"12,37";"-";"6,96";"18,75";3545704
"Santa Albertina";"2013";"1930";"1104";"300";"10";"133";"383";"57,2";"15,54";"0,52";"6,89";"19,84";3545704
"Santa Albertina";"2014";"1979";"1088";"306";"6";"158";"421";"54,98";"15,46";"0,3";"7,98";"21,27";3545704
"Santa Albertina";"2015";"2175";"1275";"297";"1";"184";"418";"58,62";"13,66";"0,05";"8,46";"19,22";3545704
"Santa Albertina";"2016";"2034";"1153";"292";"1";"167";"421";"56,69";"14,36";"0,05";"8,21";"20,7";3545704
"Santa Bárbara d'Oeste";"2012";"44936";"210";"21103";"764";"8765";"14094";"0,47";"46,96";"1,7";"19,51";"31,36";3545803
"Santa Bárbara d'Oeste";"2013";"47595";"254";"22030";"1143";"9211";"14957";"0,53";"46,29";"2,4";"19,35";"31,43";3545803
"Santa Bárbara d'Oeste";"2014";"48333";"239";"21436";"1143";"9631";"15884";"0,49";"44,35";"2,36";"19,93";"32,86";3545803
"Santa Bárbara d'Oeste";"2015";"45816";"289";"19191";"1279";"9324";"15733";"0,63";"41,89";"2,79";"20,35";"34,34";3545803
"Santa Bárbara d'Oeste";"2016";"47015";"294";"18218";"973";"9381";"18149";"0,63";"38,75";"2,07";"19,95";"38,6";3545803
"Santa Branca";"2012";"2267";"368";"696";"51";"331";"821";"16,23";"30,7";"2,25";"14,6";"36,22";3546009
"Santa Branca";"2013";"3004";"501";"691";"45";"347";"1420";"16,68";"23";"1,5";"11,55";"47,27";3546009
"Santa Branca";"2014";"2350";"467";"672";"74";"340";"797";"19,87";"28,6";"3,15";"14,47";"33,91";3546009
"Santa Branca";"2015";"2528";"429";"609";"65";"379";"1046";"16,97";"24,09";"2,57";"14,99";"41,38";3546009
"Santa Branca";"2016";"2147";"307";"459";"73";"376";"932";"14,3";"21,38";"3,4";"17,51";"43,41";3546009
"Santa Clara d'Oeste";"2012";"651";"325";"24";"x";"55";"242";"49,92";"3,69";"0,77";"8,45";"37,17";3546108
"Santa Clara d'Oeste";"2013";"731";"403";"18";"x";"42";"265";"55,13";"2,46";"0,41";"5,75";"36,25";3546108
"Santa Clara d'Oeste";"2014";"750";"381";"51";"3";"45";"270";"50,8";"6,8";"0,4";"6";"36";3546108
"Santa Clara d'Oeste";"2015";"494";"93";"49";"23";"42";"287";"18,83";"9,92";"4,66";"8,5";"58,1";3546108
"Santa Clara d'Oeste";"2016";"505";"108";"59";"-";"41";"297";"21,39";"11,68";"-";"8,12";"58,81";3546108
"Santa Cruz da Conceição";"2012";"1295";"250";"593";"10";"125";"317";"19,31";"45,79";"0,77";"9,65";"24,48";3546207
"Santa Cruz da Conceição";"2013";"1435";"236";"728";"x";"131";"338";"16,45";"50,73";"0,14";"9,13";"23,55";3546207
"Santa Cruz da Conceição";"2014";"1425";"217";"730";"7";"127";"344";"15,23";"51,23";"0,49";"8,91";"24,14";3546207
"Santa Cruz da Conceição";"2015";"1332";"297";"540";"20";"143";"332";"22,3";"40,54";"1,5";"10,74";"24,92";3546207
"Santa Cruz da Conceição";"2016";"1175";"204";"511";"6";"119";"335";"17,36";"43,49";"0,51";"10,13";"28,51";3546207
"Santa Cruz da Esperança";"2012";"313";"74";"17";"-";"24";"198";"23,64";"5,43";"-";"7,67";"63,26";3546256
"Santa Cruz da Esperança";"2013";"318";"75";"16";"x";"29";"193";"23,58";"5,03";"1,57";"9,12";"60,69";3546256
"Santa Cruz da Esperança";"2014";"350";"73";"20";"-";"25";"232";"20,86";"5,71";"-";"7,14";"66,29";3546256
"Santa Cruz da Esperança";"2015";"368";"72";"22";"2";"31";"241";"19,57";"5,98";"0,54";"8,42";"65,49";3546256
"Santa Cruz da Esperança";"2016";"377";"72";"34";"6";"22";"243";"19,1";"9,02";"1,59";"5,84";"64,46";3546256
"Santa Cruz das Palmeiras";"2012";"6312";"2131";"202";"48";"1404";"2527";"33,76";"3,2";"0,76";"22,24";"40,03";3546306
"Santa Cruz das Palmeiras";"2013";"6437";"2078";"193";"46";"1476";"2644";"32,28";"3";"0,71";"22,93";"41,08";3546306
"Santa Cruz das Palmeiras";"2014";"6131";"1840";"206";"49";"1452";"2584";"30,01";"3,36";"0,8";"23,68";"42,15";3546306
"Santa Cruz das Palmeiras";"2015";"6147";"1654";"272";"69";"1261";"2891";"26,91";"4,42";"1,12";"20,51";"47,03";3546306
"Santa Cruz das Palmeiras";"2016";"5955";"1678";"201";"41";"1251";"2784";"28,18";"3,38";"0,69";"21,01";"46,75";3546306
"Santa Cruz do Rio Pardo";"2012";"12713";"3118";"3382";"203";"2630";"3380";"24,53";"26,6";"1,6";"20,69";"26,59";3546405
"Santa Cruz do Rio Pardo";"2013";"13476";"2956";"3790";"273";"2854";"3603";"21,94";"28,12";"2,03";"21,18";"26,74";3546405
"Santa Cruz do Rio Pardo";"2014";"13622";"2926";"3818";"280";"2753";"3845";"21,48";"28,03";"2,06";"20,21";"28,23";3546405
"Santa Cruz do Rio Pardo";"2015";"14319";"3422";"3887";"245";"2840";"3925";"23,9";"27,15";"1,71";"19,83";"27,41";3546405
"Santa Cruz do Rio Pardo";"2016";"13776";"2876";"3403";"452";"2840";"4205";"20,88";"24,7";"3,28";"20,62";"30,52";3546405
"Santa Ernestina";"2012";"419";"8";"x";"3";"97";"308";"1,91";"0,72";"0,72";"23,15";"73,51";3546504
"Santa Ernestina";"2013";"494";"8";"x";"x";"117";"356";"1,62";"1,01";"1,62";"23,68";"72,06";3546504
"Santa Ernestina";"2014";"517";"12";"2";"28";"109";"366";"2,32";"0,39";"5,42";"21,08";"70,79";3546504
"Santa Ernestina";"2015";"511";"13";"3";"-";"108";"387";"2,54";"0,59";"-";"21,14";"75,73";3546504
"Santa Ernestina";"2016";"518";"16";"6";"2";"118";"376";"3,09";"1,16";"0,39";"22,78";"72,59";3546504
"Santa Fé do Sul";"2012";"7012";"229";"924";"328";"1975";"3556";"3,27";"13,18";"4,68";"28,17";"50,71";3546603
"Santa Fé do Sul";"2013";"8227";"251";"2177";"259";"2165";"3375";"3,05";"26,46";"3,15";"26,32";"41,02";3546603
"Santa Fé do Sul";"2014";"8536";"189";"2106";"317";"2337";"3587";"2,21";"24,67";"3,71";"27,38";"42,02";3546603
"Santa Fé do Sul";"2015";"8396";"185";"1978";"232";"2312";"3689";"2,2";"23,56";"2,76";"27,54";"43,94";3546603
"Santa Fé do Sul";"2016";"8503";"199";"2178";"266";"2209";"3651";"2,34";"25,61";"3,13";"25,98";"42,94";3546603
"Santa Gertrudes";"2012";"6924";"62";"4663";"14";"713";"1472";"0,9";"67,35";"0,2";"10,3";"21,26";3546702
"Santa Gertrudes";"2013";"7358";"59";"4826";"24";"792";"1657";"0,8";"65,59";"0,33";"10,76";"22,52";3546702
