"Localidades";"Períodos";"PIB (Em mil reais correntes)";"PIB per Capita (Em reais correntes)";"Participação no PIB do Estado (Em %)";"Cód. IBGE"
"Bariri";"2011";"777631,98";"24437,7";"0,054127";3505203
"Bariri";"2012";"796109,4";"24816,38";"0,051064";3505203
"Bariri";"2013";"824568,71";"25495,29";"0,048073";3505203
"Bariri";"2014";"886685,94";"27193,95";"0,047718";3505203
"Bariri";"2015";"919359,38";"27967,86";"0,047392";3505203
"Barra Bonita";"2011";"1097783,82";"31178,18";"0,076412";3505302
"Barra Bonita";"2012";"1013616,89";"28818,86";"0,065016";3505302
"Barra Bonita";"2013";"1072007,51";"30512,84";"0,062499";3505302
"Barra Bonita";"2014";"1103599,45";"31445,16";"0,059391";3505302
"Barra Bonita";"2015";"1298925,49";"37050,76";"0,066959";3505302
"Barra do Chapéu";"2011";"35708,06";"6777,01";"0,002485";3505351
"Barra do Chapéu";"2012";"34226,66";"6462,74";"0,002195";3505351
"Barra do Chapéu";"2013";"46611,31";"8754,94";"0,002717";3505351
"Barra do Chapéu";"2014";"78662,55";"14697,79";"0,004233";3505351
"Barra do Chapéu";"2015";"71191,13";"13232,55";"0,00367";3505351
"Barra do Turvo";"2011";"58558,46";"7588,24";"0,004076";3505401
"Barra do Turvo";"2012";"61573,47";"7994,48";"0,003949";3505401
"Barra do Turvo";"2013";"68361,74";"8892,01";"0,003986";3505401
"Barra do Turvo";"2014";"70831,68";"9230,09";"0,003812";3505401
"Barra do Turvo";"2015";"79665,91";"10401,61";"0,004107";3505401
"Barretos";"2011";"2742810,46";"24339,21";"0,190914";3505500
"Barretos";"2012";"3083889,97";"27204,87";"0,197808";3505500
"Barretos";"2013";"3421231,83";"30003,7";"0,199461";3505500
"Barretos";"2014";"3790875,19";"33050,06";"0,204008";3505500
"Barretos";"2015";"3796946,62";"32908,76";"0,19573";3505500
"Barrinha";"2011";"282505,95";"9793,25";"0,019664";3505609
"Barrinha";"2012";"314520,53";"10755,41";"0,020174";3505609
"Barrinha";"2013";"358937,49";"12108,27";"0,020926";3505609
"Barrinha";"2014";"384087,35";"12781,18";"0,02067";3505609
"Barrinha";"2015";"437227,03";"14352,72";"0,022539";3505609
"Barueri";"2011";"34462704,23";"141865,03";"2,398786";3505708
"Barueri";"2012";"39566466,4";"161221,38";"2,537884";3505708
"Barueri";"2013";"43865630,8";"176923,91";"2,557407";3505708
"Barueri";"2014";"46151952,39";"184256,25";"2,483697";3505708
"Barueri";"2015";"47793106,29";"188870,47";"2,463702";3505708
"Bastos";"2011";"469480,47";"23003,6";"0,032678";3505807
"Bastos";"2012";"580164,05";"28479,9";"0,037213";3505807
"Bastos";"2013";"700845,65";"34466,69";"0,04086";3505807
"Bastos";"2014";"711653,85";"35063,75";"0,038298";3505807
"Bastos";"2015";"946776,35";"46733,62";"0,048806";3505807
"Batatais";"2011";"1322433,82";"23269,18";"0,092048";3505906
"Batatais";"2012";"1351261,17";"23607,76";"0,086673";3505906
"Batatais";"2013";"1410019,69";"24459,13";"0,082205";3505906
"Batatais";"2014";"1454714,02";"25055,36";"0,078286";3505906
"Batatais";"2015";"1513697,8";"25886,24";"0,07803";3505906
"Bauru";"2011";"9108011,38";"26330,35";"0,633966";3506003
"Bauru";"2012";"9693133,05";"27842,23";"0,62174";3506003
"Bauru";"2013";"11059040,32";"31561,91";"0,644752";3506003
"Bauru";"2014";"12137133,75";"34416,55";"0,653168";3506003
"Bauru";"2015";"12705639,75";"35797,79";"0,654967";3506003
"Bebedouro";"2011";"1729037,83";"23063,99";"0,12035";3506102
"Bebedouro";"2012";"1958313,89";"26145,36";"0,125611";3506102
"Bebedouro";"2013";"2128817,41";"28446,82";"0,124112";3506102
"Bebedouro";"2014";"2336312,85";"31247,08";"0,12573";3506102
"Bebedouro";"2015";"2803970,49";"37534,91";"0,144543";3506102
"Bento de Abreu";"2011";"109893,64";"40701,35";"0,007649";3506201
"Bento de Abreu";"2012";"113812,66";"41720,18";"0,0073";3506201
"Bento de Abreu";"2013";"99884,08";"36229,26";"0,005823";3506201
"Bento de Abreu";"2014";"109569,69";"39342,8";"0,005897";3506201
"Bento de Abreu";"2015";"116146,11";"41274,38";"0,005987";3506201
"Bernardino de Campos";"2011";"127923,12";"11873,32";"0,008904";3506300
"Bernardino de Campos";"2012";"148594,79";"13793,26";"0,009531";3506300
"Bernardino de Campos";"2013";"168924,95";"15681,86";"0,009848";3506300
"Bernardino de Campos";"2014";"177947,37";"16520,97";"0,009576";3506300
"Bernardino de Campos";"2015";"187537,37";"17412,94";"0,009667";3506300
"Bertioga";"2011";"1591052,52";"32471,12";"0,110746";3506359
"Bertioga";"2012";"1313178,79";"25959,85";"0,08423";3506359
"Bertioga";"2013";"1513769,41";"28986,64";"0,088254";3506359
"Bertioga";"2014";"1536747,05";"28503,14";"0,082701";3506359
"Bertioga";"2015";"1515129,12";"27221,15";"0,078104";3506359
"Bilac";"2011";"102154,75";"14341,53";"0,007111";3506409
"Bilac";"2012";"122305,34";"16968";"0,007845";3506409
"Bilac";"2013";"136178,09";"18669,88";"0,007939";3506409
"Bilac";"2014";"145636,43";"19731,26";"0,007838";3506409
"Bilac";"2015";"155333,44";"20797,09";"0,008007";3506409
"Birigui";"2011";"2092191,97";"19029,61";"0,145628";3506508
"Birigui";"2012";"2307732,19";"20733,22";"0,148023";3506508
"Birigui";"2013";"2600972,89";"23081,8";"0,151639";3506508
"Birigui";"2014";"2721174,36";"23853";"0,146442";3506508
"Birigui";"2015";"2833554,52";"24534";"0,146068";3506508
"Biritiba-Mirim";"2011";"367856,2";"12722,87";"0,025605";3506607
"Biritiba-Mirim";"2012";"394948,89";"13483,63";"0,025333";3506607
"Biritiba-Mirim";"2013";"562711,1";"18963,1";"0,032807";3506607
"Biritiba-Mirim";"2014";"704945,01";"23449,7";"0,037937";3506607
"Biritiba-Mirim";"2015";"723189,82";"23746,18";"0,03728";3506607
"Boa Esperança do Sul";"2011";"205721,51";"14982,27";"0,014319";3506706
"Boa Esperança do Sul";"2012";"231387,91";"16734,5";"0,014842";3506706
"Boa Esperança do Sul";"2013";"212658,6";"15272,81";"0,012398";3506706
"Boa Esperança do Sul";"2014";"250195,89";"17843,1";"0,013464";3506706
"Boa Esperança do Sul";"2015";"222214,76";"15737,59";"0,011455";3506706
"Bocaina";"2011";"290782,36";"26487,74";"0,02024";3506805
"Bocaina";"2012";"339522,58";"30549,09";"0,021778";3506805
"Bocaina";"2013";"356706,2";"31707,22";"0,020796";3506805
"Bocaina";"2014";"386317,45";"33926,18";"0,02079";3506805
"Bocaina";"2015";"392172,23";"34022,06";"0,020216";3506805
"Bofete";"2011";"133077,49";"13651,77";"0,009263";3506904
"Bofete";"2012";"135547,99";"13690,33";"0,008694";3506904
"Bofete";"2013";"161805,03";"16088,8";"0,009433";3506904
"Bofete";"2014";"164623,88";"16115,9";"0,008859";3506904
"Bofete";"2015";"151762,08";"14626,26";"0,007823";3506904
"Boituva";"2011";"1839659,06";"37431,77";"0,12805";3507001
"Boituva";"2012";"2214642,49";"44171,82";"0,142052";3507001
"Boituva";"2013";"2264105,16";"44266,63";"0,131999";3507001
"Boituva";"2014";"2587854";"49597,6";"0,139267";3507001
"Boituva";"2015";"2650583,35";"49796,79";"0,136636";3507001
"Bom Jesus dos Perdões";"2011";"308686,27";"15344,55";"0,021486";3507100
"Bom Jesus dos Perdões";"2012";"347754,2";"16881,27";"0,022306";3507100
"Bom Jesus dos Perdões";"2013";"435241,79";"20631,48";"0,025375";3507100
"Bom Jesus dos Perdões";"2014";"479928,52";"22214,8";"0,025828";3507100
"Bom Jesus dos Perdões";"2015";"520562,45";"23530,37";"0,026835";3507100
