"Localidades";"Períodos";"Valor Adicionado Total (Em mil reais correntes)";"Valor Adicionado da Administração Pública (Em mil reais correntes)";"Valor Adicionado na Indústria (Em mil reais correntes)";"Valor Adicionado dos Serviços (Em mil reais correntes)";"Valor Adicionado da Agropecuária (Em mil reais correntes)";"Impostos sobre Produtos Líquidos de Subsídios (Em mil reais correntes)";"Participação da Administração Pública no Total do Valor Adicionado (Em %)";"Participação da Indústria no Total do Valor Adicionado (Em %)";"Participação dos Serviços no Total do Valor Adicionado (Em %)";"Participação da Agropecuária no Total do Valor Adicionado (Em %)";"Cód. IBGE"
"Aguaí";"2011";"531873,01";"81399,28";"178921,67";"266446,28";"86505,05";"41828,85";"15,3";"33,64";"50,1";"16,26";3500303
"Aguaí";"2012";"524488,46";"88196,85";"173550,76";"296156,07";"54781,62";"43701,51";"16,82";"33,09";"56,47";"10,44";3500303
"Aguaí";"2013";"611163,92";"104732,11";"198976,81";"342810,54";"69376,57";"49705,86";"17,14";"32,56";"56,09";"11,35";3500303
"Aguaí";"2014";"682504,59";"110821,35";"223897,96";"382487,53";"76119,1";"64773,61";"16,24";"32,81";"56,04";"11,15";3500303
"Aguaí";"2015";"674318,35";"121289,37";"216686,78";"405505,76";"52125,82";"73110,72";"17,99";"32,13";"60,14";"7,73";3500303
"Águas da Prata";"2011";"84908,52";"20844,5";"16159";"58473,21";"10276,31";"4351,55";"24,55";"19,03";"68,87";"12,1";3500402
"Águas da Prata";"2012";"96079,4";"22589,89";"16703,59";"68326,97";"11048,84";"5090,53";"23,51";"17,39";"71,12";"11,5";3500402
"Águas da Prata";"2013";"105998,06";"26437,57";"17658,91";"79054,45";"9284,7";"5414,56";"24,94";"16,66";"74,58";"8,76";3500402
"Águas da Prata";"2014";"115272,61";"28389,96";"17651,22";"86294,69";"11326,71";"6126,63";"24,63";"15,31";"74,86";"9,83";3500402
"Águas da Prata";"2015";"127269,76";"30630,41";"18763,48";"96385,3";"12120,98";"9880,48";"24,07";"14,74";"75,73";"9,52";3500402
"Águas de Lindóia";"2011";"249497,94";"48973,66";"21355,49";"223677,95";"4464,5";"18090,66";"19,63";"8,56";"89,65";"1,79";3500501
"Águas de Lindóia";"2012";"259761,42";"55258,35";"22206,21";"233230,44";"4324,77";"19694,79";"21,27";"8,55";"89,79";"1,66";3500501
"Águas de Lindóia";"2013";"329839,01";"70042,99";"25620,14";"300275,08";"3943,8";"21959,91";"21,24";"7,77";"91,04";"1,2";3500501
"Águas de Lindóia";"2014";"342407,37";"68056,72";"30375,04";"306270,31";"5762,02";"23061,43";"19,88";"8,87";"89,45";"1,68";3500501
"Águas de Lindóia";"2015";"408473,4";"81845,25";"40374,56";"362362,36";"5736,48";"30345,24";"20,04";"9,88";"88,71";"1,4";3500501
"Águas de Santa Bárbara";"2011";"127128,55";"20181,54";"22817,34";"71587,28";"32723,93";"12003,8";"15,87";"17,95";"56,31";"25,74";3500550
"Águas de Santa Bárbara";"2012";"89552,72";"23223,14";"8214,4";"64419,7";"16918,62";"6039,9";"25,93";"9,17";"71,93";"18,89";3500550
"Águas de Santa Bárbara";"2013";"108345,76";"26978,23";"9673,51";"73943,72";"24728,53";"5781,34";"24,9";"8,93";"68,25";"22,82";3500550
"Águas de Santa Bárbara";"2014";"119156,42";"28680,84";"10265,77";"81887,98";"27002,67";"7464,91";"24,07";"8,62";"68,72";"22,66";3500550
"Águas de Santa Bárbara";"2015";"112578,13";"32052,26";"12118,79";"86841,07";"13618,27";"8424,01";"28,47";"10,76";"77,14";"12,1";3500550
"Águas de São Pedro";"2011";"67340,26";"13898,32";"5481,58";"61858,67";"-";"4089,02";"20,64";"8,14";"91,86";"-";3500600
"Águas de São Pedro";"2012";"77651,18";"16364,14";"5439,16";"72212,02";"-";"4232,06";"21,07";"7";"93";"-";3500600
"Águas de São Pedro";"2013";"92412,85";"17908,94";"7392,22";"85020,63";"-";"4396,35";"19,38";"8";"92";"-";3500600
"Águas de São Pedro";"2014";"108522,05";"17275,67";"8530,34";"99991,71";"-";"5281,67";"15,92";"7,86";"92,14";"-";3500600
"Águas de São Pedro";"2015";"114830,51";"19105,45";"7516,73";"107313,78";"-";"8443,7";"16,64";"6,55";"93,45";"-";3500600
"Agudos";"2011";"1399428,54";"96428,23";"832121,44";"484266,76";"83040,34";"343198,88";"6,89";"59,46";"34,6";"5,93";3500709
"Agudos";"2012";"1542054,63";"110002,06";"905767,14";"559327,89";"76959,6";"386484,66";"7,13";"58,74";"36,27";"4,99";3500709
"Agudos";"2013";"1513256,28";"126903,64";"833462,59";"604746,22";"75047,47";"387155,31";"8,39";"55,08";"39,96";"4,96";3500709
"Agudos";"2014";"1682486,62";"134288,4";"931033,17";"696790,53";"54662,93";"413855,56";"7,98";"55,34";"41,41";"3,25";3500709
"Agudos";"2015";"1698262,94";"148867,2";"902967,01";"753351,12";"41944,81";"354619";"8,77";"53,17";"44,36";"2,47";3500709
"Alambari";"2011";"59444,98";"14354,61";"3920,12";"27003,05";"28521,8";"1939,85";"24,15";"6,59";"45,43";"47,98";3500758
"Alambari";"2012";"58231,06";"16250,69";"4322,28";"30518,19";"23390,59";"2273,79";"27,91";"7,42";"52,41";"40,17";3500758
"Alambari";"2013";"66518,75";"18121,89";"4502,53";"35584,66";"26431,56";"3844,21";"27,24";"6,77";"53,5";"39,74";3500758
"Alambari";"2014";"64915,63";"20273,68";"4723,94";"39647,1";"20544,58";"5551,09";"31,23";"7,28";"61,07";"31,65";3500758
"Alambari";"2015";"80741,25";"22198,4";"5959,56";"43827,16";"30954,53";"3787,93";"27,49";"7,38";"54,28";"38,34";3500758
"Alfredo Marcondes";"2011";"37381,95";"11918,66";"8962,58";"24074,42";"4344,94";"1598,33";"31,88";"23,98";"64,4";"11,62";3500808
"Alfredo Marcondes";"2012";"47083,59";"12991,43";"13928,84";"28896,62";"4258,13";"6209,12";"27,59";"29,58";"61,37";"9,04";3500808
"Alfredo Marcondes";"2013";"55910,57";"15186,76";"16076,55";"35050,05";"4783,98";"9816,9";"27,16";"28,75";"62,69";"8,56";3500808
"Alfredo Marcondes";"2014";"58904,24";"16174,59";"15272,5";"38712,2";"4919,54";"14789,75";"27,46";"25,93";"65,72";"8,35";3500808
"Alfredo Marcondes";"2015";"61431,87";"17501,74";"15929,52";"40946,75";"4555,6";"10270,75";"28,49";"25,93";"66,65";"7,42";3500808
"Altair";"2011";"85155,84";"12689,95";"5147,57";"27206,7";"52801,57";"1582,94";"14,9";"6,04";"31,95";"62,01";3500907
"Altair";"2012";"90873,68";"22755";"5205,03";"41090,68";"44577,97";"1759,6";"25,04";"5,73";"45,22";"49,05";3500907
"Altair";"2013";"95498,84";"16067,93";"5673,58";"33520,26";"56305";"1239,56";"16,83";"5,94";"35,1";"58,96";3500907
"Altair";"2014";"96179,07";"17321,62";"5009,69";"36827,17";"54342,21";"1710,35";"18,01";"5,21";"38,29";"56,5";3500907
"Altair";"2015";"83384,2";"19027,51";"4631,29";"37055,83";"41697,08";"2171,82";"22,82";"5,55";"44,44";"50,01";3500907
"Altinópolis";"2011";"249864,29";"42643,4";"15780,56";"159409,02";"74674,71";"13851,47";"17,07";"6,32";"63,8";"29,89";3501004
"Altinópolis";"2012";"263818,82";"46631,51";"18229,99";"182369,79";"63219,04";"16827,99";"17,68";"6,91";"69,13";"23,96";3501004
"Altinópolis";"2013";"321500,13";"55327,64";"20093,15";"210894,4";"90512,58";"14657,01";"17,21";"6,25";"65,6";"28,15";3501004
"Altinópolis";"2014";"382114,93";"58322,21";"20891,34";"236972,86";"124250,74";"15775,61";"15,26";"5,47";"62,02";"32,52";3501004
