"Localidades";"Períodos";"Valor Adicionado Total (Em mil reais correntes)";"Valor Adicionado da Administração Pública (Em mil reais correntes)";"Valor Adicionado na Indústria (Em mil reais correntes)";"Valor Adicionado dos Serviços (Em mil reais correntes)";"Valor Adicionado da Agropecuária (Em mil reais correntes)";"Impostos sobre Produtos Líquidos de Subsídios (Em mil reais correntes)";"Participação da Administração Pública no Total do Valor Adicionado (Em %)";"Participação da Indústria no Total do Valor Adicionado (Em %)";"Participação dos Serviços no Total do Valor Adicionado (Em %)";"Participação da Agropecuária no Total do Valor Adicionado (Em %)";"Cód. IBGE"
"Regente Feijó";"2012";"407191,25";"59471,5";"73800,78";"306384,71";"27005,77";"65464,9";"14,61";"18,12";"75,24";"6,63";3542404
"Regente Feijó";"2013";"475663,35";"66525,38";"67803,91";"378459,2";"29400,24";"73335,46";"13,99";"14,25";"79,56";"6,18";3542404
"Regente Feijó";"2014";"505165,15";"74152,14";"72026,56";"404154,21";"28984,39";"77986,98";"14,68";"14,26";"80";"5,74";3542404
"Regente Feijó";"2015";"504662,3";"76389,79";"74968,93";"387511,3";"42182,07";"67456,67";"15,14";"14,86";"76,79";"8,36";3542404
"Reginópolis";"2011";"77688,82";"20018,3";"5251,76";"43918,3";"28518,76";"3155,02";"25,77";"6,76";"56,53";"36,71";3542503
"Reginópolis";"2012";"74836,8";"22063,42";"5644,28";"48593,46";"20599,06";"3440,38";"29,48";"7,54";"64,93";"27,53";3542503
"Reginópolis";"2013";"82822,49";"25829,95";"8138,2";"54939,85";"19744,44";"2729,1";"31,19";"9,83";"66,33";"23,84";3542503
"Reginópolis";"2014";"102893,07";"28926,54";"8920,71";"64089,77";"29882,59";"3392,57";"28,11";"8,67";"62,29";"29,04";3542503
"Reginópolis";"2015";"93499,15";"32740,02";"8721,56";"68380,42";"16397,17";"3754,84";"35,02";"9,33";"73,13";"17,54";3542503
"Registro";"2011";"913851,72";"130115,07";"107667,88";"736803,55";"69380,29";"93827,66";"14,24";"11,78";"80,63";"7,59";3542602
"Registro";"2012";"1102770,7";"146818,8";"135302,34";"881286,98";"86181,38";"104701,29";"13,31";"12,27";"79,92";"7,81";3542602
"Registro";"2013";"1185619,26";"169298,47";"131986,66";"1016463,41";"37169,19";"114881,13";"14,28";"11,13";"85,73";"3,14";3542602
"Registro";"2014";"1350473,33";"178061,65";"144791,88";"1140671,37";"65010,09";"123280,9";"13,19";"10,72";"84,46";"4,81";3542602
"Registro";"2015";"1498388,52";"195313,39";"138915,96";"1321266,18";"38206,38";"199220,95";"13,03";"9,27";"88,18";"2,55";3542602
"Restinga";"2011";"90946,4";"21430,99";"22220,42";"43454,86";"25271,11";"3117,36";"23,56";"24,43";"47,78";"27,79";3542701
"Restinga";"2012";"118017,59";"24514,84";"33048,39";"52708,88";"32260,31";"3727,77";"20,77";"28";"44,66";"27,34";3542701
"Restinga";"2013";"115608,76";"27605,4";"31473";"57253,53";"26882,23";"4121,2";"23,88";"27,22";"49,52";"23,25";3542701
"Restinga";"2014";"130429,17";"30309,39";"31076,26";"64549,63";"34803,28";"4744,39";"23,24";"23,83";"49,49";"26,68";3542701
"Restinga";"2015";"142328,64";"31370,66";"51962,57";"65664,04";"24702,03";"8896,74";"22,04";"36,51";"46,14";"17,36";3542701
"Ribeira";"2011";"22463,78";"10919,2";"1129,05";"16823,8";"4510,94";"1183,65";"48,61";"5,03";"74,89";"20,08";3542800
"Ribeira";"2012";"25006,85";"12479,18";"1338,55";"19231,95";"4436,35";"903,44";"49,9";"5,35";"76,91";"17,74";3542800
"Ribeira";"2013";"28329,53";"12933,27";"1391,27";"20588,72";"6349,55";"890,38";"45,65";"4,91";"72,68";"22,41";3542800
"Ribeira";"2014";"35513,4";"13621,19";"1659,83";"22925,23";"10928,35";"800,18";"38,36";"4,67";"64,55";"30,77";3542800
"Ribeira";"2015";"41484,59";"14794,38";"2226";"29584,25";"9674,34";"1885,53";"35,66";"5,37";"71,31";"23,32";3542800
"Ribeirão Bonito";"2011";"154572,33";"31130,51";"14590,78";"87839,58";"52141,97";"10048,46";"20,14";"9,44";"56,83";"33,73";3542909
"Ribeirão Bonito";"2012";"189650,79";"33383,32";"40460,71";"99287,3";"49902,79";"8904,72";"17,6";"21,33";"52,35";"26,31";3542909
"Ribeirão Bonito";"2013";"236952,6";"40647,85";"49057,83";"121705,5";"66189,28";"9244,35";"17,15";"20,7";"51,36";"27,93";3542909
"Ribeirão Bonito";"2014";"234371,48";"43331,74";"55227,9";"132728,84";"46414,74";"10385,34";"18,49";"23,56";"56,63";"19,8";3542909
"Ribeirão Bonito";"2015";"198439,43";"47367,92";"26377,52";"137860,07";"34201,84";"10696,37";"23,87";"13,29";"69,47";"17,24";3542909
"Ribeirão Branco";"2011";"132087,25";"45543,23";"8802,47";"84908,28";"38376,5";"2527,66";"34,48";"6,66";"64,28";"29,05";3543006
"Ribeirão Branco";"2012";"180044,96";"50619,73";"12589,25";"96689,19";"70766,53";"3603,22";"28,12";"6,99";"53,7";"39,3";3543006
"Ribeirão Branco";"2013";"305281,63";"56951,87";"19642,04";"116928,38";"168711,22";"3234,68";"18,66";"6,43";"38,3";"55,26";3543006
"Ribeirão Branco";"2014";"499843,38";"60326,98";"28049,56";"145135,57";"326658,25";"4636,09";"12,07";"5,61";"29,04";"65,35";3543006
"Ribeirão Branco";"2015";"363812,74";"63669,37";"20026,99";"142626,42";"201159,32";"4971,93";"17,5";"5,5";"39,2";"55,29";3543006
"Ribeirão Corrente";"2011";"51996,52";"14743,81";"4102,94";"27986,57";"19907";"-744,48";"28,36";"7,89";"53,82";"38,29";3543105
"Ribeirão Corrente";"2012";"78026,4";"15542,37";"5898,16";"34266,82";"37861,43";"-831,66";"19,92";"7,56";"43,92";"48,52";3543105
"Ribeirão Corrente";"2013";"71702,58";"18387,9";"6093,68";"37534,87";"28074,03";"-687,74";"25,64";"8,5";"52,35";"39,15";3543105
"Ribeirão Corrente";"2014";"92598,72";"19945,23";"7836";"44183,38";"40579,35";"-137,9";"21,54";"8,46";"47,71";"43,82";3543105
"Ribeirão Corrente";"2015";"72504,24";"21298,56";"6317,57";"43112,72";"23073,95";"852,86";"29,38";"8,71";"59,46";"31,82";3543105
"Ribeirão do Sul";"2011";"61700,74";"12605,9";"8717,99";"31192,82";"21789,93";"2205,32";"20,43";"14,13";"50,56";"35,32";3543204
"Ribeirão do Sul";"2012";"70690,49";"13857,04";"9164,36";"37525,91";"24000,23";"2258,58";"19,6";"12,96";"53,08";"33,95";3543204
"Ribeirão do Sul";"2013";"77616,63";"15532,79";"7221,8";"42212,92";"28181,91";"2634,06";"20,01";"9,3";"54,39";"36,31";3543204
"Ribeirão do Sul";"2014";"86000,69";"17048,9";"6855,51";"49004,75";"30140,43";"2899,74";"19,82";"7,97";"56,98";"35,05";3543204
"Ribeirão do Sul";"2015";"111345,81";"18793,8";"6752,74";"76904,52";"27688,55";"9882,81";"16,88";"6,06";"69,07";"24,87";3543204
"Ribeirão dos Índios";"2011";"25512,8";"8273,13";"1928,9";"13430,95";"10152,95";"428,52";"32,43";"7,56";"52,64";"39,8";3543238
"Ribeirão dos Índios";"2012";"27888,16";"9155,2";"2052,06";"15258,66";"10577,43";"534,3";"32,83";"7,36";"54,71";"37,93";3543238
"Ribeirão dos Índios";"2013";"30788,47";"11041,62";"2334,89";"17997,67";"10455,92";"427,63";"35,86";"7,58";"58,46";"33,96";3543238
"Ribeirão dos Índios";"2014";"32760,77";"12161,8";"2501,12";"19808,07";"10451,58";"516,4";"37,12";"7,63";"60,46";"31,9";3543238
"Ribeirão dos Índios";"2015";"33279,12";"12882,87";"2713,43";"20941,77";"9623,92";"611,75";"38,71";"8,15";"62,93";"28,92";3543238
"Ribeirão Grande";"2011";"210224,78";"22557,92";"145122,71";"58847,45";"6254,61";"19781,07";"10,73";"69,03";"27,99";"2,98";3543253
"Ribeirão Grande";"2012";"213157,2";"24984,42";"142935,4";"63878,57";"6343,23";"20792,59";"11,72";"67,06";"29,97";"2,98";3543253
"Ribeirão Grande";"2013";"196286,34";"29094,32";"119608,47";"67754,88";"8922,99";"18597,7";"14,82";"60,94";"34,52";"4,55";3543253
"Ribeirão Grande";"2014";"226409,08";"31160,97";"129310,78";"76579,93";"20518,36";"16933,38";"13,76";"57,11";"33,82";"9,06";3543253
"Ribeirão Grande";"2015";"203747,99";"31983,8";"114309,15";"75681,62";"13757,22";"17553,77";"15,7";"56,1";"37,14";"6,75";3543253
"Ribeirão Pires";"2011";"1793046,1";"268380,49";"518387,76";"1273077,16";"1581,19";"232880,67";"14,97";"28,91";"71";"0,09";3543303
"Ribeirão Pires";"2012";"1952033,78";"312055,16";"534860,07";"1415365,75";"1807,95";"260360,41";"15,99";"27,4";"72,51";"0,09";3543303
"Ribeirão Pires";"2013";"2275037,63";"375321,04";"601991,26";"1670869,18";"2177,2";"294557,75";"16,5";"26,46";"73,44";"0,1";3543303
"Ribeirão Pires";"2014";"2334033,54";"396972,65";"596315,05";"1736232,23";"1486,26";"272447,72";"17,01";"25,55";"74,39";"0,06";3543303
"Ribeirão Pires";"2015";"2503507,11";"422814,01";"640207,7";"1861542,51";"1756,9";"309928,65";"16,89";"25,57";"74,36";"0,07";3543303
"Ribeirão Preto";"2011";"17637207,12";"1726904,25";"2518730,09";"15061141,82";"57335,21";"2490591,57";"9,79";"14,28";"85,39";"0,33";3543402
"Ribeirão Preto";"2012";"19131571,51";"1888923,66";"2240213,59";"16799469,33";"91888,59";"2722787,85";"9,87";"11,71";"87,81";"0,48";3543402
"Ribeirão Preto";"2013";"21864925,27";"2323448,18";"2324235,36";"19438586,02";"102103,88";"3041055,35";"10,63";"10,63";"88,9";"0,47";3543402
"Ribeirão Preto";"2014";"24874169,68";"2458794,39";"2755352,72";"22034702,46";"84114,51";"3213227,3";"9,88";"11,08";"88,58";"0,34";3543402
"Ribeirão Preto";"2015";"24913901,86";"2616189,7";"3400073,57";"21435312,88";"78515,41";"2895804,15";"10,5";"13,65";"86,04";"0,32";3543402
"Rifaina";"2011";"42947,08";"12343,98";"3261,69";"31743,18";"7942,21";"2475,45";"28,74";"7,59";"73,91";"18,49";3543600
"Rifaina";"2012";"48664,03";"13523,55";"3261,79";"35079";"10323,25";"2507,11";"27,79";"6,7";"72,08";"21,21";3543600
"Rifaina";"2013";"52594,25";"15777,3";"3778";"40726,77";"8089,48";"3121,49";"30";"7,18";"77,44";"15,38";3543600
"Rifaina";"2014";"60829,41";"18294,62";"4511,57";"46932,36";"9385,49";"2899,62";"30,08";"7,42";"77,15";"15,43";3543600
"Rifaina";"2015";"88098,12";"19830,42";"5582,83";"52961,95";"29553,34";"3732,91";"22,51";"6,34";"60,12";"33,55";3543600
"Rincão";"2011";"129200,79";"29633,12";"19487,6";"73189,2";"36523,99";"6862,31";"22,94";"15,08";"56,65";"28,27";3543709
"Rincão";"2012";"153780,77";"32160,81";"23515,9";"84251,04";"46013,83";"7460,46";"20,91";"15,29";"54,79";"29,92";3543709
"Rincão";"2013";"157749,57";"35884,39";"22747,31";"93874,65";"41127,62";"6611,36";"22,75";"14,42";"59,51";"26,07";3543709
"Rincão";"2014";"161473,53";"37663,86";"20551,48";"102087,42";"38834,63";"7011,29";"23,33";"12,73";"63,22";"24,05";3543709
"Rincão";"2015";"153417,93";"40596,62";"19862,14";"104172,03";"29383,76";"7668,32";"26,46";"12,95";"67,9";"19,15";3543709
"Rinópolis";"2011";"117037,15";"24499,62";"16273,61";"72031,56";"28731,98";"5944,99";"20,93";"13,9";"61,55";"24,55";3543808
"Rinópolis";"2012";"122284,81";"25920,78";"14467,15";"80021,46";"27796,2";"6775";"21,2";"11,83";"65,44";"22,73";3543808
"Rinópolis";"2013";"146912,73";"30153,13";"22796,52";"93873,38";"30242,83";"9520";"20,52";"15,52";"63,9";"20,59";3543808
"Rinópolis";"2014";"197999,83";"31844,01";"33870,44";"108973,33";"55156,07";"10691,5";"16,08";"17,11";"55,04";"27,86";3543808
"Rinópolis";"2015";"232273,88";"35085,44";"34939,34";"118573,21";"78761,34";"11674,38";"15,11";"15,04";"51,05";"33,91";3543808
"Rio Claro";"2011";"5620818,98";"540465,47";"2561317,67";"3023500,58";"36000,73";"892582,52";"9,62";"45,57";"53,79";"0,64";3543907
"Rio Claro";"2012";"6200898,35";"598487,35";"2741257,33";"3424745,83";"34895,2";"1043224,61";"9,65";"44,21";"55,23";"0,56";3543907
"Rio Claro";"2013";"6635204,11";"695360,73";"2770581,52";"3826076,62";"38545,97";"1121489,9";"10,48";"41,76";"57,66";"0,58";3543907
"Rio Claro";"2014";"7213188,91";"747343,11";"2920067,79";"4257244,27";"35876,85";"1241931,03";"10,36";"40,48";"59,02";"0,5";3543907
"Rio Claro";"2015";"7265992,78";"807094,77";"2857895,83";"4367088,03";"41008,92";"1265058,46";"11,11";"39,33";"60,1";"0,56";3543907
"Rio das Pedras";"2011";"720604,83";"89081,35";"306739,42";"369121,86";"44743,55";"152842,96";"12,36";"42,57";"51,22";"6,21";3544004
"Rio das Pedras";"2012";"715749,73";"97971,66";"254318,75";"415037";"46393,98";"166580,3";"13,69";"35,53";"57,99";"6,48";3544004
"Rio das Pedras";"2013";"835803,98";"113895,92";"244663,38";"551064,58";"40076,02";"209200,87";"13,63";"29,27";"65,93";"4,79";3544004
"Rio das Pedras";"2014";"848839,04";"120647,36";"250712,84";"572814,71";"25311,49";"198102,91";"14,21";"29,54";"67,48";"2,98";3544004
"Rio das Pedras";"2015";"845721,77";"128024,91";"246510,88";"574528,82";"24682,08";"182285,94";"15,14";"29,15";"67,93";"2,92";3544004
"Rio Grande da Serra";"2011";"378297,74";"98792,33";"140172,95";"237695,07";"429,71";"46768,14";"26,11";"37,05";"62,83";"0,11";3544103
"Rio Grande da Serra";"2012";"407246,22";"107811,19";"148530,57";"258214,41";"501,25";"44745,2";"26,47";"36,47";"63,4";"0,12";3544103
"Rio Grande da Serra";"2013";"482893,08";"128522,66";"158909,06";"323365,05";"618,97";"46841,28";"26,62";"32,91";"66,96";"0,13";3544103
"Rio Grande da Serra";"2014";"474856,25";"132101,57";"156399,65";"317951,85";"504,75";"44971,34";"27,82";"32,94";"66,96";"0,11";3544103
"Rio Grande da Serra";"2015";"485931,4";"145450,97";"152000,69";"333331,99";"598,73";"47322,17";"29,93";"31,28";"68,6";"0,12";3544103
"Riolândia";"2011";"125695,55";"27650,05";"10573,58";"59460,28";"55661,68";"2337,6";"22";"8,41";"47,31";"44,28";3544202
"Riolândia";"2012";"131465,39";"30802,67";"12247,87";"68977,5";"50240,02";"3623,27";"23,43";"9,32";"52,47";"38,22";3544202
"Riolândia";"2013";"144515,03";"37181,81";"11699,99";"82497,71";"50317,33";"4002,55";"25,73";"8,1";"57,09";"34,82";3544202
"Riolândia";"2014";"146148,76";"39285,3";"11785,24";"88380,47";"45983,05";"5006,19";"26,88";"8,06";"60,47";"31,46";3544202
"Riolândia";"2015";"161629,39";"43648,18";"12561,13";"96414,51";"52653,75";"5085,6";"27,01";"7,77";"59,65";"32,58";3544202
"Riversul";"2011";"34254,72";"16221,28";"2150,77";"25040,13";"7063,83";"1009,87";"47,35";"6,28";"73,1";"20,62";3543501
"Riversul";"2012";"38364,21";"18091,23";"2557,47";"28590,63";"7216,11";"800,9";"47,16";"6,67";"74,52";"18,81";3543501
"Riversul";"2013";"43937,46";"20283,99";"2727,93";"32588,06";"8621,46";"406,56";"46,17";"6,21";"74,17";"19,62";3543501
"Riversul";"2014";"47846,53";"21266,81";"2691,93";"34613,07";"10541,53";"615,57";"44,45";"5,63";"72,34";"22,03";3543501
"Riversul";"2015";"53839,57";"23853,89";"3134,79";"37937,9";"12766,88";"867,49";"44,31";"5,82";"70,46";"23,71";3543501
"Rosana";"2011";"888153,51";"62361,93";"713023,97";"155160,41";"19969,14";"11245,61";"7,02";"80,28";"17,47";"2,25";3544251
"Rosana";"2012";"1022806,18";"72348,43";"812098,17";"182616,01";"28092";"11529,74";"7,07";"79,4";"17,85";"2,75";3544251
"Rosana";"2013";"1101363,1";"85222,7";"849346,84";"219678,17";"32338,09";"12153,66";"7,74";"77,12";"19,95";"2,94";3544251
"Rosana";"2014";"1217673,15";"88604,64";"946202,49";"243230,53";"28240,14";"13087,87";"7,28";"77,71";"19,98";"2,32";3544251
"Rosana";"2015";"1695383,97";"94481,51";"1409683,61";"253595,88";"32104,48";"14313,5";"5,57";"83,15";"14,96";"1,89";3544251
"Roseira";"2011";"183556,6";"27057,61";"68318,29";"112322,13";"2916,18";"24763,35";"14,74";"37,22";"61,19";"1,59";3544301
"Roseira";"2012";"172256,5";"29291,61";"53505,06";"115784,28";"2967,16";"24923,3";"17";"31,06";"67,22";"1,72";3544301
"Roseira";"2013";"213930,56";"34957,86";"70876,15";"140783,03";"2271,38";"22150,74";"16,34";"33,13";"65,81";"1,06";3544301
"Roseira";"2014";"204467,02";"37830,86";"58952,92";"141974,67";"3539,43";"23384,39";"18,5";"28,83";"69,44";"1,73";3544301
"Roseira";"2015";"208616,17";"40800,29";"57434,55";"147746,55";"3435,07";"24900,4";"19,56";"27,53";"70,82";"1,65";3544301
"Rubiácea";"2011";"58368,56";"9629,82";"3794,49";"21707,48";"32866,6";"932,86";"16,5";"6,5";"37,19";"56,31";3544400
"Rubiácea";"2012";"62935,99";"10763,88";"5103,31";"22528,44";"35304,23";"962,32";"17,1";"8,11";"35,8";"56,1";3544400
"Rubiácea";"2013";"43508,14";"12178,64";"4964,07";"22658,7";"15885,37";"845,68";"27,99";"11,41";"52,08";"36,51";3544400
"Rubiácea";"2014";"46769,01";"13188,35";"3474,07";"25267,43";"18027,51";"772,33";"28,2";"7,43";"54,03";"38,55";3544400
"Rubiácea";"2015";"47751,09";"14444,47";"3222";"27238,53";"17290,56";"938,32";"30,25";"6,75";"57,04";"36,21";3544400
"Rubinéia";"2011";"35513,48";"12981,9";"2111,12";"23545,18";"9857,18";"1587,96";"36,55";"5,94";"66,3";"27,76";3544509
"Rubinéia";"2012";"41381";"14114";"2402,97";"26946,08";"12031,95";"2090,83";"34,11";"5,81";"65,12";"29,08";3544509
"Rubinéia";"2013";"49498,36";"16904,27";"2946,47";"32290,19";"14261,69";"1032,94";"34,15";"5,95";"65,23";"28,81";3544509
"Rubinéia";"2014";"52771,92";"17729,9";"2990,78";"35008,56";"14772,57";"1242,67";"33,6";"5,67";"66,34";"27,99";3544509
"Rubinéia";"2015";"56718,19";"18777,37";"3786,46";"35640,53";"17291,21";"1682,79";"33,11";"6,68";"62,84";"30,49";3544509
"Sabino";"2011";"77014,73";"16573,77";"3927,13";"39945,44";"33142,16";"1702,04";"21,52";"5,1";"51,87";"43,03";3544608
"Sabino";"2012";"74733,51";"18833,54";"3770,42";"45852,22";"25110,87";"2764,48";"25,2";"5,05";"61,35";"33,6";3544608
"Sabino";"2013";"86699,06";"23052,49";"4194,1";"53756,03";"28748,93";"2783,28";"26,59";"4,84";"62";"33,16";3544608
"Sabino";"2014";"101607,72";"23786,77";"5362,26";"59099,1";"37146,36";"3082,43";"23,41";"5,28";"58,16";"36,56";3544608
"Sabino";"2015";"92530,92";"25191";"5192,82";"60287,48";"27050,62";"3213,59";"27,22";"5,61";"65,15";"29,23";3544608
"Sagres";"2011";"23822,4";"8553,64";"1779,56";"14411,81";"7631,03";"615,29";"35,91";"7,47";"60,5";"32,03";3544707
"Sagres";"2012";"32273,04";"9284,67";"2259,28";"16763,78";"13249,98";"706,27";"28,77";"7";"51,94";"41,06";3544707
"Sagres";"2013";"32963,81";"10732,77";"2102,11";"18756,43";"12105,28";"567,65";"32,56";"6,38";"56,9";"36,72";3544707
"Sagres";"2014";"35520,45";"11658,19";"2616,63";"20870,37";"12033,44";"749,86";"32,82";"7,37";"58,76";"33,88";3544707
"Sagres";"2015";"36787,51";"12658,87";"2222,04";"22423,39";"12142,07";"863,7";"34,41";"6,04";"60,95";"33,01";3544707
"Sales";"2011";"64915,1";"16474,17";"3192,24";"39467,04";"22255,83";"2520,83";"25,38";"4,92";"60,8";"34,28";3544806
"Sales";"2012";"78688,85";"18111,88";"3778,42";"46090,1";"28820,32";"2648,22";"23,02";"4,8";"58,57";"36,63";3544806
"Sales";"2013";"89617,5";"20840,97";"4280,83";"55908,86";"29427,81";"2812,58";"23,26";"4,78";"62,39";"32,84";3544806
"Sales";"2014";"101612,93";"23602,65";"5150,87";"68755,88";"27706,18";"3800,88";"23,23";"5,07";"67,66";"27,27";3544806
"Sales";"2015";"100288,61";"25621,55";"5422,83";"67483,39";"27382,39";"3923,82";"25,55";"5,41";"67,29";"27,3";3544806
"Sales Oliveira";"2011";"191884,64";"24573,46";"46949,65";"90257,24";"54677,75";"17535,47";"12,81";"24,47";"47,04";"28,5";3544905
"Sales Oliveira";"2012";"231528,26";"31571,89";"54269,38";"111535,75";"65723,12";"14974,98";"13,64";"23,44";"48,17";"28,39";3544905
"Sales Oliveira";"2013";"249504,55";"34284,1";"52426,45";"131162,48";"65915,62";"15806,15";"13,74";"21,01";"52,57";"26,42";3544905
"Sales Oliveira";"2014";"266227,78";"38971,6";"56510,56";"149451,86";"60265,36";"18932,58";"14,64";"21,23";"56,14";"22,64";3544905
"Sales Oliveira";"2015";"264935,32";"43070,24";"54706,26";"159897,76";"50331,3";"20640,23";"16,26";"20,65";"60,35";"19";3544905
"Salesópolis";"2011";"129631,53";"43525,02";"6090,82";"106236,81";"17303,9";"6952,93";"33,58";"4,7";"81,95";"13,35";3545001
"Salesópolis";"2012";"138994,52";"46471,7";"6983,49";"115740,22";"16270,81";"6905,64";"33,43";"5,02";"83,27";"11,71";3545001
"Salesópolis";"2013";"155867,29";"52821,21";"7468,11";"126834,31";"21564,87";"6680,16";"33,89";"4,79";"81,37";"13,84";3545001
"Salesópolis";"2014";"174718,21";"55676,31";"7433,77";"141227,44";"26057,01";"7670,96";"31,87";"4,25";"80,83";"14,91";3545001
"Salesópolis";"2015";"184144,5";"57693,19";"8486,23";"151376,31";"24281,96";"9048,89";"31,33";"4,61";"82,21";"13,19";3545001
"Salmourão";"2011";"52838,51";"13721,11";"3561,5";"27572,62";"21704,39";"1290,41";"25,97";"6,74";"52,18";"41,08";3545100
"Salmourão";"2012";"60592,9";"14948,27";"3438,16";"31281,99";"25872,75";"1311,76";"24,67";"5,67";"51,63";"42,7";3545100
"Salmourão";"2013";"55305,05";"16841,33";"3503,18";"33654,19";"18147,68";"1033,18";"30,45";"6,33";"60,85";"32,81";3545100
"Salmourão";"2014";"57952,85";"17920,26";"4068,88";"36498,07";"17385,91";"1237,06";"30,92";"7,02";"62,98";"30";3545100
"Salmourão";"2015";"58884,76";"19921,85";"3768,32";"39209,63";"15906,81";"1397,08";"33,83";"6,4";"66,59";"27,01";3545100
"Saltinho";"2011";"121597,47";"20701,23";"27729,15";"76650,65";"17217,67";"15572,42";"17,02";"22,8";"63,04";"14,16";3545159
"Saltinho";"2012";"132638,04";"22940,15";"28142,68";"87143,34";"17352,01";"18825,51";"17,3";"21,22";"65,7";"13,08";3545159
"Saltinho";"2013";"151419,94";"27844,98";"31980,32";"102973,27";"16466,34";"18547,89";"18,39";"21,12";"68,01";"10,87";3545159
"Saltinho";"2014";"149969,45";"29027,26";"27863,75";"111286,94";"10818,76";"20616,52";"19,36";"18,58";"74,21";"7,21";3545159
"Saltinho";"2015";"168277,59";"31537,15";"30687,13";"126091,67";"11498,79";"24789,11";"18,74";"18,24";"74,93";"6,83";3545159
"Salto";"2011";"3193296,12";"262403,23";"1137716,94";"2047366,4";"8212,78";"724275,87";"8,22";"35,63";"64,11";"0,26";3545209
"Salto";"2012";"3601403,12";"292780,15";"1185229,4";"2407443,57";"8730,15";"784117,2";"8,13";"32,91";"66,85";"0,24";3545209
"Salto";"2013";"4167431,66";"330001,75";"1287151,89";"2865652,25";"14627,52";"852369,23";"7,92";"30,89";"68,76";"0,35";3545209
"Salto";"2014";"4800619,3";"361770,74";"1360371,24";"3429287,57";"10960,49";"894744,47";"7,54";"28,34";"71,43";"0,23";3545209
"Salto";"2015";"4703943,17";"400592,91";"1286652,62";"3406779,01";"10511,55";"894596,24";"8,52";"27,35";"72,42";"0,22";3545209
"Salto de Pirapora";"2011";"938646,15";"100524,64";"557763,83";"371241,22";"9641,1";"117122,61";"10,71";"59,42";"39,55";"1,03";3545308
"Salto de Pirapora";"2012";"977139,96";"112021,89";"548979,41";"412178,26";"15982,28";"132335,53";"11,46";"56,18";"42,18";"1,64";3545308
"Salto de Pirapora";"2013";"1099909,27";"131322,24";"593381,76";"487299,19";"19228,33";"154522,69";"11,94";"53,95";"44,3";"1,75";3545308
"Salto de Pirapora";"2014";"1209877,44";"141371,84";"637317,5";"556852,37";"15707,58";"173696,77";"11,68";"52,68";"46,03";"1,3";3545308
"Salto de Pirapora";"2015";"1201153,91";"153740,99";"605395,32";"582348,98";"13409,61";"205245,82";"12,8";"50,4";"48,48";"1,12";3545308
"Salto Grande";"2011";"134883,01";"23188,53";"41985,13";"70009,01";"22888,87";"4888,81";"17,19";"31,13";"51,9";"16,97";3545407
"Salto Grande";"2012";"156112,39";"25728,99";"50056,7";"83812,57";"22243,12";"9519,88";"16,48";"32,06";"53,69";"14,25";3545407
"Salto Grande";"2013";"175441,25";"29992,7";"46856,32";"102548,19";"26036,74";"12971,89";"17,1";"26,71";"58,45";"14,84";3545407
"Salto Grande";"2014";"177918,25";"32241,32";"39117,34";"113179,3";"25621,61";"14274,47";"18,12";"21,99";"63,61";"14,4";3545407
"Salto Grande";"2015";"170413,66";"34941,57";"51858,13";"95062,24";"23493,3";"9687,23";"20,5";"30,43";"55,78";"13,79";3545407
"Sandovalina";"2011";"266110,59";"18388,58";"156546,36";"47468,32";"62095,92";"5245,52";"6,91";"58,83";"17,84";"23,33";3545506
"Sandovalina";"2012";"304869,68";"20617,89";"190413,85";"52621,42";"61834,42";"4943,6";"6,76";"62,46";"17,26";"20,28";3545506
"Sandovalina";"2013";"313286,39";"24784,18";"191401,81";"64533,3";"57351,28";"6704,65";"7,91";"61,09";"20,6";"18,31";3545506
"Sandovalina";"2014";"272797,83";"27516,1";"136800,61";"72875,16";"63122,06";"7287,35";"10,09";"50,15";"26,71";"23,14";3545506
"Sandovalina";"2015";"365251,28";"27713,11";"236387,97";"74528,88";"54334,43";"7689,37";"7,59";"64,72";"20,4";"14,88";3545506
"Santa Adélia";"2011";"205700,18";"38064,83";"9922,09";"125585,65";"70192,44";"10683,9";"18,51";"4,82";"61,05";"34,12";3545605
"Santa Adélia";"2012";"219913,51";"40729,08";"10579,19";"139805,41";"69528,9";"10252,77";"18,52";"4,81";"63,57";"31,62";3545605
"Santa Adélia";"2013";"244375,53";"46789,98";"11098,78";"162658,77";"70617,98";"12766,69";"19,15";"4,54";"66,56";"28,9";3545605
"Santa Adélia";"2014";"248021,45";"49894,13";"11441,05";"179304,3";"57276,1";"12027,97";"20,12";"4,61";"72,29";"23,09";3545605
"Santa Adélia";"2015";"268195,51";"54903,02";"12802,1";"194451,71";"60941,7";"13167,07";"20,47";"4,77";"72,5";"22,72";3545605
"Santa Albertina";"2011";"97448,29";"17848,76";"34106,63";"51978,41";"11363,25";"8849,03";"18,32";"35";"53,34";"11,66";3545704
"Santa Albertina";"2012";"92613,66";"18953,85";"27911,38";"52206,64";"12495,65";"7011,2";"20,47";"30,14";"56,37";"13,49";3545704
"Santa Albertina";"2013";"126888,64";"22564,17";"44796";"69202,38";"12890,26";"12029,89";"17,78";"35,3";"54,54";"10,16";3545704
"Santa Albertina";"2014";"142876,43";"23937,19";"46489,36";"76651,64";"19735,43";"12113,38";"16,75";"32,54";"53,65";"13,81";3545704
"Santa Albertina";"2015";"148712,85";"25927,56";"49132,37";"82151,1";"17429,38";"12941,77";"17,43";"33,04";"55,24";"11,72";3545704
